time_day,shoot_C,root_C,seed_C,litter_C,soil_water_mm,mineral_N,cumulative_net_C_gain,cumulative_litter_CO2_C,cumulative_rain_mm,cumulative_irrigation_mm,cumulative_ET_mm,cumulative_drainage_mm,cumulative_N_input,cumulative_N_leaching,temperature_C,rain_rate_mm_day,light_umol_m2_s,net_gain_gC_m2_day,carbon_residual,water_residual,nitrogen_residual
69.66666666666666,9.66187532866051,4.8202429630654215,0.0,2.4340314989246887,41.17531475665875,3.6935258438007907,9.315673627203159,0.39952383655251944,0.0,0.0,38.82468524334129,0.0,0.1393333333333324,0.0,30.590616217215956,0.0,450.0,0.13655853447180172,-1.9539925233402755e-14,4.263256414560601e-14,-1.0852430065710905e-14
70.58333333333333,9.711361088527973,4.847841674478804,0.0,2.4707811316112216,40.67513607776481,3.6896674719357545,9.440725472311088,0.4107415776930716,0.0,0.0,39.32486392223523,0.0,0.14116666666666577,0.0,30.624291744604037,0.0,450.0,0.1363209905872138,-1.9539925233402755e-14,4.263256414560601e-14,-1.1324274851176597e-14
71.5,9.760508916742424,4.875295853052681,0.0,2.507614482748448,40.17620968036526,3.68582903737281,9.565546801432417,0.4221275488888427,0.0,0.0,39.82379031963478,0.0,0.14299999999999913,0.0,30.656566860342522,0.0,450.0,0.13605532734069378,-2.3092638912203256e-14,4.263256414560601e-14,-1.176836406102666e-14
72.41666666666666,9.809315070091499,4.902603466618361,0.0,2.5445287267033843,39.6785852508567,3.6820109701626573,9.690129670840946,0.43368240742768,0.0,0.0,40.321414749143344,0.0,0.14483333333333245,0.0,30.6874335281399,0.0,450.0,0.13579063817663883,-2.4868995751603507e-14,4.263256414560601e-14,-1.3072876114961218e-14
73.33333333333333,9.857775431433296,4.929762363242951,0.0,2.5815218545033223,39.182311481883886,3.6782136842076754,9.814466169425042,0.4454065202454483,0.0,0.0,40.81768851811616,0.0,0.1466666666666658,0.0,30.716884062398904,0.0,450.0,0.13551735305725834,-2.4868995751603507e-14,4.263256414560601e-14,-1.2628786905111156e-14
74.25,9.905885950557888,4.9567704209326235,0.0,2.6185918459706317,38.68743752831879,3.67443758912693,9.938548462515254,0.4573002450540857,0.0,0.0,41.312562471681254,0.0,0.14849999999999916,0.0,30.744911130130234,0.0,450.0,0.13523554967942916,-2.4868995751603507e-14,4.263256414560601e-14,-1.2184697695261093e-14
75.16666666666666,9.95364263579563,4.9836255437195955,0.0,2.655736670071247,38.1940129999012,3.6706830908539967,10.062368779877415,0.4693639302909206,0.0,0.0,41.805987000098845,0.0,0.1503333333333325,0.0,30.771507752778373,0.0,450.0,0.13494529252121698,-2.3092638912203256e-14,4.263256414560601e-14,-1.2601031329495527e-14
76.08333333333333,10.001041545497442,5.010325657684362,0.0,2.6929542852204125,37.702087953446245,3.6669505922465424,10.185919403471745,0.4815979150695077,0.0,0.0,42.2979120465538,0.0,0.15216666666666584,0.0,30.796667307959225,0.0,450.0,0.13464663260093213,-2.3092638912203256e-14,4.263256414560601e-14,-1.304512053934559e-14
77.0,10.048078779407016,5.036868706922569,0.0,2.73024263954531,37.2117128845826,3.663240493706242,10.3091926550067,0.49400252913178455,0.0,0.0,42.78828711541744,0.0,0.1539999999999992,0.0,30.820383531109044,0.0,450.0,0.13433960726791436,-2.1316282072803006e-14,4.263256414560601e-14,-1.2601031329495527e-14
77.91666666666666,10.094750469945332,5.063252649466043,0.0,2.7675996711042865,36.72293871898362,3.6595531938075374,10.432180883317042,0.5065780928013541,0.0,0.0,43.27706128101642,0.0,0.15583333333333252,0.0,30.84265051704426,0.0,450.0,0.1340242400257135,-2.4868995751603507e-14,4.263256414560601e-14,-1.2129186544029835e-14
